alpha11,beta11,az_angle,el_angle,simulation_time
4,6,15,100,14.2023391724
4,6,15,105,14.2335968018
4,6,15,110,12.9680557251
4,6,20,90,12.5930709839
4,6,20,95,13.9055023193
4,6,20,100,14.1398544312
4,6,20,105,13.1242752075
4,6,20,110,14.0461196899
4,8,0,90,14.2648544312
4,8,0,95,14.2181015015
4,8,0,100,14.0929794312
4,8,0,105,14.2023544312
4,8,0,110,12.8744430542
4,8,5,90,14.3899230957
4,8,5,95,14.2806777954
4,8,5,100,14.2649993896
4,8,5,105,14.3430404663
4,8,5,110,14.1868667603
4,8,10,90,14.0305557251
4,8,10,95,14.2024917603
4,8,10,100,14.2493057251
4,8,10,105,14.4682235718
4,8,10,110,14.1868820190
4,8,15,90,13.0150375366
4,8,15,95,14.2962036133
4,8,15,100,14.0930557251
4,8,15,105,14.2023544312
4,8,15,110,14.1242370605
4,8,20,90,12.8431091309
4,8,20,95,13.9837493896
4,8,20,100,14.1556701660
4,8,20,105,14.4523544312
4,8,20,110,13.9836883545
6,2,0,90,12.9055633545
6,2,0,95,12.9680557251
6,2,0,100,14.1712112427
6,2,0,105,13.1399154663
6,2,0,110,14.0461959839
6,2,5,90,14.4368667603
6,2,5,95,14.3432312012
6,2,5,100,14.2492523193
6,2,5,105,14.4055480957
6,2,5,110,14.2804794312
6,2,10,90,14.3273696899
6,2,10,95,14.3274230957
6,2,10,100,14.2650985718
6,2,10,105,14.4211654663
6,2,10,110,14.3275680542
6,2,15,90,14.3119354248
6,2,15,95,14.3117446899
6,2,15,100,14.3430557251
6,2,15,105,14.4367294312
6,2,15,110,14.2648544312
6,2,20,90,14.3118133545
6,2,20,95,14.3273773193
6,2,20,100,14.2804870605
6,2,20,105,14.5149993896
6,2,20,110,14.3274841309
6,4,0,90,14.3274383545
6,4,0,95,14.3274993896
6,4,0,100,14.4054870605
6,4,0,105,14.5304946899
6,4,0,110,14.3118896484
6,4,5,90,14.3117828369
6,4,5,95,14.3587341309
6,4,5,100,14.2961883545
6,4,5,105,14.4993133545
6,4,5,110,14.5149383545
6,4,10,90,14.4367980957
6,4,10,95,14.3899383545
6,4,10,100,14.4992294312
6,4,10,105,16.7491836548
6,4,10,110,14.5929718018
6,4,15,90,14.3273849487
6,4,15,95,14.3273849487
6,4,15,100,14.2961273193
6,4,15,105,14.4682083130
6,4,15,110,14.3899307251
6,4,20,90,14.3586196899
6,4,20,95,14.3586349487
6,4,20,100,14.3586959839
6,4,20,105,14.5148773193
6,4,20,110,14.3586654663
6,6,0,90,14.3117599487
6,6,0,95,14.3587722778
6,6,0,100,14.3460083008
6,6,0,105,14.4525375366
6,6,0,110,14.3275833130
6,6,5,90,14.3278503418
6,6,5,95,14.5931930542
6,6,5,100,16.6872024536
6,6,5,105,14.5312728882
6,6,5,110,14.3120727539
6,6,10,90,14.3589782715
6,6,10,95,14.4059906006
6,6,10,100,14.3586730957
6,6,10,105,14.4841384888
6,6,10,110,14.4373397827
6,6,15,90,14.2964553833
6,6,15,95,14.3434982300
6,6,15,100,14.3589324951
6,6,15,105,14.5153656006
6,6,15,110,14.3746643066
6,6,20,90,14.2654113770
6,6,20,95,14.3591918945
6,6,20,100,14.1869964600
6,6,20,105,14.5465087891
6,6,20,110,14.2806549072
6,8,0,90,14.3122711182
6,8,0,95,14.8122406006
6,8,0,100,14.7964019775
6,8,0,105,14.6403961182
6,8,0,110,14.3903045654
6,8,5,90,14.3589019775
6,8,5,95,14.7182693481
6,8,5,100,14.8123016357
6,8,5,105,14.7182159424
6,8,5,110,14.4213867188
6,8,10,90,14.3589859009
6,8,10,95,14.3279113770
6,8,10,100,14.3275375366
6,8,10,105,14.4684906006
6,8,10,110,14.3591079712
6,8,15,90,14.3278656006
6,8,15,95,14.3275909424
6,8,15,100,14.3122711182
6,8,15,105,14.5620346069
6,8,15,110,14.3744277954
6,8,20,90,14.3747863770
6,8,20,95,14.3279342651
6,8,20,100,14.2651138306
6,8,20,105,14.4680175781
6,8,20,110,14.2497406006
