alpha11,beta11,az_angle,el_angle,simulation_time
8,2,5,95,61.2666549683
8,2,5,100,30.5629959106
8,2,5,105,28.6413497925
8,2,5,110,30.3442611694
8,2,10,90,26.9848098755
8,2,10,95,51.5789947510
8,2,10,100,54.9853057861
8,2,10,105,24.7191925049
8,2,10,110,28.4692153931
8,2,15,90,28.5785980225
8,2,15,95,25.1253738403
8,2,15,100,32.6724090576
8,2,15,105,41.6725845337
8,2,15,110,26.5473175049
8,2,20,90,28.8442230225
8,2,20,95,28.5317230225
8,2,20,100,61.0634613037
8,2,20,105,78.1106338501
8,2,20,110,40.6725387573
8,4,0,90,42.8756637573
8,4,0,95,30.7035827637
8,4,0,100,36.3755493164
8,4,0,105,28.7660751343
8,4,0,110,34.8130187988
8,4,5,90,81.2349853516
8,4,5,95,73.0480728149
8,4,5,100,30.4379653931
8,4,5,105,28.8129882813
8,4,5,110,36.6568298340
8,4,10,90,28.5314407349
8,4,10,95,77.8136901855
8,4,10,100,93.3295745850
8,4,10,105,24.9847640991
8,4,10,110,28.3598480225
8,4,15,90,28.6254119873
8,4,15,95,28.6254577637
8,4,15,100,38.7349472046
8,4,15,105,33.3754882813
8,4,15,110,28.8129272461
8,4,20,90,30.6411132813
8,4,20,95,32.6723861694
8,4,20,100,67.1104583740
8,4,20,105,87.5326156616
8,4,20,110,57.6102371216
8,6,0,90,32.8598480225
8,6,0,95,36.6255722046
8,6,0,100,40.7349624634
8,6,0,105,30.4535751343
8,6,0,110,33.2505340576
8,6,5,90,75.6261672974
8,6,5,95,67.0947265625
8,6,5,100,28.5317077637
8,6,5,105,28.7504272461
8,6,5,110,32.5942382813
8,6,10,90,28.7191543579
8,6,10,95,63.2040557861
8,6,10,100,89.1106948853
8,6,10,105,28.8910369873
8,6,10,110,34.6723937988
8,6,15,90,27.1410675049
8,6,15,95,30.8910522461
8,6,15,100,47.0162963867
8,6,15,105,43.7662582397
8,6,15,110,34.6880264282
8,6,20,90,28.7660293579
8,6,20,95,36.6724014282
8,6,20,100,71.7041702271
8,6,20,105,98.0639572144
8,6,20,110,39.2193222046
8,8,0,90,30.5942153931
8,8,0,95,40.6725006104
8,8,0,100,36.6723785400
8,8,0,105,30.8285827637
8,8,0,110,33.1098632813
8,8,5,90,75.7667312622
8,8,5,95,67.0953826904
8,8,5,100,30.6410522461
8,8,5,105,28.7660369873
8,8,5,110,36.9067764282
8,8,10,90,28.5629196167
8,8,10,95,85.3141784668
8,8,10,100,91.7357025146
8,8,10,105,35.5942535400
8,8,10,110,31.2504425049
8,8,15,90,26.6566162109
8,8,15,95,31.1879806519
8,8,15,100,37.3286285400
8,8,15,105,40.8911819458
8,8,15,110,31.0004882813
8,8,20,90,32.9067382813
8,8,20,95,34.8442764282
8,8,20,100,71.2510223389
8,8,20,105,99.6732940674
8,8,20,110,42.7974548340
