alpha11,beta11,az_angle,el_angle,simulation_time
2,6,20,95,37.0788650513
2,6,20,100,36.2355117798
2,6,20,105,32.9072952271
2,6,20,110,32.8916625977
2,8,0,90,24.2975997925
2,8,0,95,36.4854812622
2,8,0,100,32.6884689331
2,8,0,105,35.0166702271
2,8,0,110,32.6572189331
2,8,5,90,36.4854736328
2,8,5,95,38.6105117798
2,8,5,100,36.4229202271
2,8,5,105,35.1416244507
2,8,5,110,32.3759231567
2,8,10,90,36.4697875977
2,8,10,95,38.3448562622
2,8,10,100,32.7509460449
2,8,10,105,36.4228973389
2,8,10,110,36.3291549683
2,8,15,90,33.0009460449
2,8,15,95,36.3135452271
2,8,15,100,46.4544219971
2,8,15,105,37.7666625977
2,8,15,110,34.4853439331
2,8,20,90,36.4072418213
2,8,20,95,36.9385147095
2,8,20,100,36.0322418213
2,8,20,105,36.3603515625
2,8,20,110,40.5948257446
4,2,0,90,24.3756484985
4,2,0,95,40.6260833740
4,2,0,100,45.2512359619
4,2,0,105,36.5166168213
4,2,0,110,33.0946044922
4,2,5,90,41.0635681152
4,2,5,95,41.7198333740
4,2,5,100,56.5952301025
4,2,5,105,43.6105117798
4,2,5,110,42.5323104858
4,2,10,90,40.6260223389
4,2,10,95,40.4072723389
4,2,10,100,34.7196578979
4,2,10,105,36.5634307861
4,2,10,110,37.8446884155
4,2,15,90,34.4227294922
4,2,15,95,36.3915405273
4,2,15,100,36.4696807861
4,2,15,105,67.0172805786
4,2,15,110,34.4227066040
4,2,20,90,36.4852447510
4,2,20,95,38.7196960449
4,2,20,100,39.5478134155
4,2,20,105,34.5164566040
4,2,20,110,34.6414642334
4,4,0,90,33.5945358276
4,4,0,95,34.8132858276
4,4,0,100,36.7821273804
4,4,0,105,36.5164794922
4,4,0,110,36.4539794922
4,4,5,90,49.2355041504
4,4,5,95,36.4852142334
4,4,5,100,41.5322341919
4,4,5,105,35.1726684570
4,4,5,110,36.7039642334
4,4,10,90,34.4226455688
4,4,10,95,37.2196121216
4,4,10,100,37.1570739746
4,4,10,105,50.6886138916
4,4,10,110,49.6729736328
4,4,15,90,32.8600845337
4,4,15,95,42.6102905273
4,4,15,100,40.5790100098
4,4,15,105,50.7823562622
4,4,15,110,34.5476379395
4,4,20,90,35.3757476807
4,4,20,95,42.3133850098
4,4,20,100,39.0164489746
4,4,20,105,37.4695739746
4,4,20,110,32.7038269043
4,6,0,90,34.5475845337
4,6,0,95,36.5789184570
4,6,0,100,37.1726455688
4,6,0,105,39.9695587158
4,6,0,110,37.2976531982
4,6,5,90,40.6726913452
4,6,5,95,42.9071121216
4,6,5,100,40.3601760864
4,6,5,105,37.6882553101
4,6,5,110,34.5943832397
4,6,10,90,36.8601074219
4,6,10,95,59.0636520386
4,6,10,100,35.7350616455
4,6,10,105,37.1413345337
4,6,10,110,40.6570205688
4,6,15,90,41.5008010864
4,6,15,95,40.9695358276
4,6,15,100,37.0007019043
4,6,15,105,40.5788803101
4,6,15,110,36.3132095337
4,6,20,90,36.5163497925
4,6,20,95,36.4381713867
4,6,20,100,35.1569137573
4,6,20,105,34.5006408691
4,6,20,110,34.4694137573
4,8,0,90,38.7038345337
4,8,0,95,38.7503890991
4,8,0,100,42.7193298340
4,8,0,105,44.7823486328
4,8,0,110,38.7032546997
4,8,5,90,40.6569747925
4,8,5,95,41.1418609619
4,8,5,100,46.9234695435
4,8,5,105,36.4548110962
4,8,5,110,34.5942153931
4,8,10,90,41.6882705688
4,8,10,95,38.3908767700
4,8,10,100,36.6258316040
4,8,10,105,36.8910980225
4,8,10,110,34.8920898438
4,8,15,90,37.0317916870
4,8,15,95,46.4235000610
4,8,15,100,44.7041244507
4,8,15,105,34.8904953003
4,8,15,110,38.6882171631
4,8,20,90,34.3607482910
4,8,20,95,34.6882629395
4,8,20,100,38.8444442749
4,8,20,105,51.5173416138
4,8,20,110,44.0155258179
6,2,0,90,24.9373855591
6,2,0,95,40.7344741821
6,2,0,100,36.9531631470
6,2,0,105,39.1417388916
6,2,0,110,36.6885299683
6,2,5,90,36.5789566040
6,2,5,95,42.7043838501
